SUBSECTOR,BETA_5Y,INTERCEPT_5Y,annualized_return_of_equity_5Y,standard_deviation_of_equity_5Y
OTHER ENERGY RESOURCES,1.9415335463209327,0.0396908596827112,-0.1105851315252726,2.7962687063328193
OIL & GAS PRODUCERS,1.658122374270694,0.02675578465431546,0.007330563167784576,2.354942092675938
SOFTWARE,1.3772509726040254,0.016355882841489085,-0.08469459809314564,3.442655700165195
HEALTH CARE EQUIPMENT & SERVICES,1.306136592230196,0.013769521375307755,-0.22686156767265725,2.441129637248093
TECHNOLOGY EQUIPMENT,1.3025313375552183,0.013477679043745458,-0.06082513942715121,2.8038418424873104
"ENERGY INFRASTRUCTURE, EQUIPMENT & SERVICES",1.1525874171108421,0.008229922020754324,-0.07022617444424384,6.037982751478917
INDUSTRIAL ENGINEERING,1.1241757607353557,0.0055762379858985,-0.016680189379665596,2.497534330654982
DIGITAL SERVICES,1.0884190605341195,0.0049501127701837315,-0.02052553252985961,6.709720837651087
METALS,1.0918433065192976,0.004297119323370626,0.06316463003304174,2.0888990291745575
BANKING,1.013198232453532,0.0007818605588878685,0.03971444928718983,0.8533260998185577
CONSTRUCTION,1.009635791310421,0.00023459400636978482,-0.03482056527746155,1.6625409244270675
"INDUSTRIAL MATERIALS, COMPONENTS & EQUIPMENT",0.9863204383525733,0.00021470768508079034,-0.024041386701464076,2.2544475776528556
SEMICONDUCTORS,0.9608550523816864,-0.0002335571149897895,0.025455461915434737,2.144215497966274
INDUSTRIAL SERVICES,0.9724383014513198,-0.00039496375670277837,-0.011093381618004043,2.2628423946306366
"TRAVEL, LEISURE & HOSPITALITY",0.958477435732557,-0.0009373374292814831,-0.014735097589767458,2.407884154055991
TELECOMMUNICATIONS SERVICE PROVIDERS,0.9663490183912432,-0.0013980351122730003,-0.09249298069378716,1.809825270791462
TELECOMMUNICATIONS EQUIPMENT,0.9005700150915896,-0.002427985085067654,-0.0801205696520515,4.151965935116519
MEDIA,0.9251823691600981,-0.0026790245779148908,0.019050518788729008,2.2640686259226768
ELECTRICITY,0.9176098753570188,-0.0027661683173166723,-0.014114757161786451,0.9779966500870236
CHEMICALS,0.8920488850516628,-0.003141080336447608,0.02489525031920967,2.0019177835418214
PERSONAL GOODS,0.8872413229543586,-0.00354415851594618,-0.015717891234075014,2.4256238925875246
WOOD & WOOD PRODUCTS,0.8923497393245512,-0.003685525799602243,0.007605111734676306,2.4639584592936723
TRANSPORTATION & LOGISTICS SERVICES,0.8786529690279307,-0.004349874416137182,0.008044342272630959,2.2841178376336573
BUILDING MATERIALS,0.8460210562608323,-0.005525990489840229,0.021555627194098172,2.16784371099781
PLANTATION,0.8310862433460522,-0.006300781767721934,0.03473146519129607,1.4001547369530734
DIVERSIFIED INDUSTRIALS,0.7927303562061949,-0.007717510428607416,0.05206484846917044,1.6025808836271926
TRANSPORTATION EQUIPMENT,0.7838949538511419,-0.008370654137646339,-0.007593643853222143,1.9957876036242113
AUTOMOTIVE,0.7810590798136482,-0.008575887994783678,-0.000607686885707559,1.1283508936647284
OTHER FINANCIALS,0.7732051742753843,-0.008697416751888731,-0.020042052984828133,1.5841655301767437
"GAS, WATER & MULTI-UTILITIES",0.7604156614163249,-0.009429664814828827,-0.010332240106404397,0.9407832359239483
FOOD& BEVERAGES,0.7527357732219409,-0.009522307872347813,-0.02312561696772301,1.4984118296769013
CONSUMER SERVICES,0.7329484266485082,-0.00991739804151792,-0.006822936393808276,1.982584255569028
AGRICULTURAL PRODUCTS,0.7273041831175471,-0.010696591148186132,-0.0050814134351306,1.4867839965296274
PACKAGING MATERIALS,0.7132830877809383,-0.010894051616926682,-0.012893660610789366,1.675113782538562
PHARMACEUTICALS,0.6835373752872745,-0.011651875698091483,-0.019310264122709864,1.274725160113049
INSURANCE,0.6987011740932499,-0.01194237158561997,0.011657956152792625,0.9347894696068482
HEALTH CARE PROVIDERS,0.6971406132288659,-0.011979096848368283,0.0016673261543834275,1.0124315626983589
PROPERTY,0.6851379790588213,-0.01239137694016368,-0.005905877851159632,1.8443157762885865
RETAILERS,0.648889014696337,-0.013856705811922105,0.010971508979572775,1.3618808805616065
AUTO PARTS,0.6143345849898252,-0.014627381328978019,0.019110477692828365,2.4985753437147626
HOUSEHOLD GOODS,0.5281709648694062,-0.018287644117969546,0.03647387447504314,1.949513868560867
REAL ESTATE INVESTMENT TRUSTS,0.36994597055982703,-0.025143180509068386,0.009196154648280164,0.6009796755839985
SPECIAL PURPOSE ACQUISITION COMPANY,-0.00856806611453582,-0.04022828129546099,0.0,0.0
